År,Svarsalternativ,Procent,Antal svar
1986,Mycket bra förslag,18,277
1988,Mycket bra förslag,16,245
1989,Mycket bra förslag,21,324
1990,Mycket bra förslag,27,403
1991,Mycket bra förslag,25,377
1992,Mycket bra förslag,28,518
1993,Mycket bra förslag,26,456
1994,Mycket bra förslag,24,396
1995,Mycket bra förslag,24,407
1996,Mycket bra förslag,19,324
1997,Mycket bra förslag,19,309
1999,Mycket bra förslag,11,162
2000,Mycket bra förslag,14,222
2001,Mycket bra förslag,10,159
2003,Mycket bra förslag,14,232
2004,Mycket bra förslag,16,258
2005,Mycket bra förslag,16,258
2006,Mycket bra förslag,14,212
2007,Mycket bra förslag,12,192
2008,Mycket bra förslag,10,146
2009,Mycket bra förslag,13,187
2010,Mycket bra förslag,12,179
2013,Mycket bra förslag,13,203
2014,Mycket bra förslag,7,114
2015,Mycket bra förslag,6,90
2016,Mycket bra förslag,5,77
2017,Mycket bra förslag,6,100
2018,Mycket bra förslag,5,83
2019,Mycket bra förslag,6,87
2020,Mycket bra förslag,6,100
2021,Mycket bra förslag,6,88
2022,Mycket bra förslag,4,58
2023,Mycket bra förslag,4,71
2024,Mycket bra förslag,5,91
1986,Ganska bra förslag,18,270
1988,Ganska bra förslag,17,265
1989,Ganska bra förslag,23,341
1990,Ganska bra förslag,25,382
1991,Ganska bra förslag,27,410
1992,Ganska bra förslag,30,546
1993,Ganska bra förslag,29,525
1994,Ganska bra förslag,32,528
1995,Ganska bra förslag,29,496
1996,Ganska bra förslag,32,527
1997,Ganska bra förslag,30,499
1999,Ganska bra förslag,23,350
2000,Ganska bra förslag,24,370
2001,Ganska bra förslag,20,317
2003,Ganska bra förslag,27,449
2004,Ganska bra förslag,29,474
2005,Ganska bra förslag,23,371
2006,Ganska bra förslag,27,416
2007,Ganska bra förslag,27,425
2008,Ganska bra förslag,24,364
2009,Ganska bra förslag,26,386
2010,Ganska bra förslag,27,412
2013,Ganska bra förslag,20,307
2014,Ganska bra förslag,11,174
2015,Ganska bra förslag,10,152
2016,Ganska bra förslag,9,141
2017,Ganska bra förslag,10,174
2018,Ganska bra förslag,12,204
2019,Ganska bra förslag,12,191
2020,Ganska bra förslag,10,176
2021,Ganska bra förslag,11,156
2022,Ganska bra förslag,7,114
2023,Ganska bra förslag,11,189
2024,Ganska bra förslag,9,146
1986,Varken bra eller dåligt förslag,23,355
1988,Varken bra eller dåligt förslag,23,357
1989,Varken bra eller dåligt förslag,25,382
1990,Varken bra eller dåligt förslag,24,358
1991,Varken bra eller dåligt förslag,23,348
1992,Varken bra eller dåligt förslag,24,442
1993,Varken bra eller dåligt förslag,24,419
1994,Varken bra eller dåligt förslag,27,440
1995,Varken bra eller dåligt förslag,24,409
1996,Varken bra eller dåligt förslag,24,408
1997,Varken bra eller dåligt förslag,30,487
1999,Varken bra eller dåligt förslag,37,578
2000,Varken bra eller dåligt förslag,35,540
2001,Varken bra eller dåligt förslag,39,626
2003,Varken bra eller dåligt förslag,35,585
2004,Varken bra eller dåligt förslag,31,516
2005,Varken bra eller dåligt förslag,33,536
2006,Varken bra eller dåligt förslag,34,519
2007,Varken bra eller dåligt förslag,34,525
2008,Varken bra eller dåligt förslag,30,454
2009,Varken bra eller dåligt förslag,34,504
2010,Varken bra eller dåligt förslag,35,535
2013,Varken bra eller dåligt förslag,37,578
2014,Varken bra eller dåligt förslag,36,596
2015,Varken bra eller dåligt förslag,35,522
2016,Varken bra eller dåligt förslag,33,493
2017,Varken bra eller dåligt förslag,36,617
2018,Varken bra eller dåligt förslag,36,611
2019,Varken bra eller dåligt förslag,38,591
2020,Varken bra eller dåligt förslag,38,658
2021,Varken bra eller dåligt förslag,39,575
2022,Varken bra eller dåligt förslag,34,517
2023,Varken bra eller dåligt förslag,23,374
2024,Varken bra eller dåligt förslag,35,592
1986,Ganska dåligt förslag,25,383
1988,Ganska dåligt förslag,23,353
1989,Ganska dåligt förslag,19,286
1990,Ganska dåligt förslag,15,232
1991,Ganska dåligt förslag,16,237
1992,Ganska dåligt förslag,11,200
