År,Svarsalternativ,Procent,Antal svar
2004,Mycket bra förslag,8,143
2007,Mycket bra förslag,7,109
2008,Mycket bra förslag,8,124
2011,Mycket bra förslag,6,95
2013,Mycket bra förslag,7,108
2014,Mycket bra förslag,9,143
2015,Mycket bra förslag,7,120
2017,Mycket bra förslag,7,132
2019,Mycket bra förslag,9,134
2021,Mycket bra förslag,9,136
2024,Mycket bra förslag,8,137
2004,Ganska bra förslag,12,197
2007,Ganska bra förslag,11,177
2008,Ganska bra förslag,12,188
2011,Ganska bra förslag,8,124
2013,Ganska bra förslag,9,133
2014,Ganska bra förslag,10,172
2015,Ganska bra förslag,10,153
2017,Ganska bra förslag,8,141
2019,Ganska bra förslag,8,128
2021,Ganska bra förslag,9,137
2024,Ganska bra förslag,13,223
2004,Varken bra eller dåligt förslag,14,236
2007,Varken bra eller dåligt förslag,13,202
2008,Varken bra eller dåligt förslag,11,173
2011,Varken bra eller dåligt förslag,14,214
2013,Varken bra eller dåligt förslag,14,216
2014,Varken bra eller dåligt förslag,13,218
2015,Varken bra eller dåligt förslag,12,194
2017,Varken bra eller dåligt förslag,14,246
2019,Varken bra eller dåligt förslag,12,187
2021,Varken bra eller dåligt förslag,14,218
2024,Varken bra eller dåligt förslag,14,242
2004,Ganska dåligt förslag,13,220
2007,Ganska dåligt förslag,14,217
2008,Ganska dåligt förslag,12,186
2011,Ganska dåligt förslag,14,206
2013,Ganska dåligt förslag,13,200
2014,Ganska dåligt förslag,15,249
2015,Ganska dåligt förslag,12,186
2017,Ganska dåligt förslag,13,233
2019,Ganska dåligt förslag,13,206
2021,Ganska dåligt förslag,14,217
2024,Ganska dåligt förslag,16,277
2004,Mycket dåligt förslag,48,820
2007,Mycket dåligt förslag,52,836
2008,Mycket dåligt förslag,52,805
2011,Mycket dåligt förslag,52,789
2013,Mycket dåligt förslag,51,809
2014,Mycket dåligt förslag,46,755
2015,Mycket dåligt förslag,52,840
2017,Mycket dåligt förslag,51,905
2019,Mycket dåligt förslag,52,814
2021,Mycket dåligt förslag,49,763
2024,Mycket dåligt förslag,45,805
2004,Ingen uppfattning,5,83
2007,Ingen uppfattning,4,66
2008,Ingen uppfattning,5,78
2011,Ingen uppfattning,6,98
2013,Ingen uppfattning,7,107
2014,Ingen uppfattning,7,112
2015,Ingen uppfattning,7,118
2017,Ingen uppfattning,7,116
2019,Ingen uppfattning,6,100
2021,Ingen uppfattning,6,97
2024,Ingen uppfattning,6,106
