År,Svarsalternativ,Procent,Antal svar
2001,Mycket bra förslag,11,175
2002,Mycket bra förslag,12,192
2006,Mycket bra förslag,11,164
2008,Mycket bra förslag,14,219
2009,Mycket bra förslag,12,192
2011,Mycket bra förslag,17,257
2012,Mycket bra förslag,16,236
2014,Mycket bra förslag,14,225
2016,Mycket bra förslag,17,280
2020,Mycket bra förslag,19,330
2021,Mycket bra förslag,18,276
2022,Mycket bra förslag,17,289
2024,Mycket bra förslag,20,348
2001,Ganska bra förslag,29,482
2002,Ganska bra förslag,30,503
2006,Ganska bra förslag,27,416
2008,Ganska bra förslag,29,452
2009,Ganska bra förslag,28,447
2011,Ganska bra förslag,35,539
2012,Ganska bra förslag,33,498
2014,Ganska bra förslag,32,528
2016,Ganska bra förslag,35,569
2020,Ganska bra förslag,33,573
2021,Ganska bra förslag,34,531
2022,Ganska bra förslag,34,592
2024,Ganska bra förslag,34,611
2001,Varken bra eller dåligt förslag,29,478
2002,Varken bra eller dåligt förslag,28,474
2006,Varken bra eller dåligt förslag,28,439
2008,Varken bra eller dåligt förslag,26,404
2009,Varken bra eller dåligt förslag,26,409
2011,Varken bra eller dåligt förslag,25,382
2012,Varken bra eller dåligt förslag,23,343
2014,Varken bra eller dåligt förslag,25,413
2016,Varken bra eller dåligt förslag,24,380
2020,Varken bra eller dåligt förslag,25,446
2021,Varken bra eller dåligt förslag,24,377
2022,Varken bra eller dåligt förslag,25,431
2024,Varken bra eller dåligt förslag,23,408
2001,Ganska dåligt förslag,9,147
2002,Ganska dåligt förslag,8,136
2006,Ganska dåligt förslag,10,156
2008,Ganska dåligt förslag,11,170
2009,Ganska dåligt förslag,10,158
2011,Ganska dåligt förslag,5,80
2012,Ganska dåligt förslag,7,107
2014,Ganska dåligt förslag,9,142
2016,Ganska dåligt förslag,5,83
2020,Ganska dåligt förslag,6,113
2021,Ganska dåligt förslag,6,90
2022,Ganska dåligt förslag,7,116
2024,Ganska dåligt förslag,6,100
2001,Mycket dåligt förslag,13,207
2002,Mycket dåligt förslag,12,200
2006,Mycket dåligt förslag,13,209
2008,Mycket dåligt förslag,9,142
2009,Mycket dåligt förslag,14,222
2011,Mycket dåligt förslag,7,105
2012,Mycket dåligt förslag,9,129
2014,Mycket dåligt förslag,10,169
2016,Mycket dåligt förslag,6,103
2020,Mycket dåligt förslag,8,139
2021,Mycket dåligt förslag,10,152
2022,Mycket dåligt förslag,7,119
2024,Mycket dåligt förslag,8,145
2001,Ingen uppfattning,10,164
2002,Ingen uppfattning,10,169
2006,Ingen uppfattning,12,181
2008,Ingen uppfattning,11,163
2009,Ingen uppfattning,11,174
2011,Ingen uppfattning,11,167
2012,Ingen uppfattning,13,193
2014,Ingen uppfattning,11,174
2016,Ingen uppfattning,12,192
2020,Ingen uppfattning,9,162
2021,Ingen uppfattning,9,143
2022,Ingen uppfattning,11,193
2024,Ingen uppfattning,10,170
