År,Svarsalternativ,Procent,Antal svar
1996,Mycket bra förslag,16,259
1998,Mycket bra förslag,15,240
1999,Mycket bra förslag,16,258
2000,Mycket bra förslag,11,168
2001,Mycket bra förslag,10,163
2002,Mycket bra förslag,5,81
2011,Mycket bra förslag,10,153
2012,Mycket bra förslag,9,133
2013,Mycket bra förslag,9,142
2019,Mycket bra förslag,7,120
2020,Mycket bra förslag,6,110
2021,Mycket bra förslag,5,72
2022,Mycket bra förslag,5,82
1996,Ganska bra förslag,27,434
1998,Ganska bra förslag,31,510
1999,Ganska bra förslag,32,507
2000,Ganska bra förslag,28,422
2001,Ganska bra förslag,30,476
2002,Ganska bra förslag,24,391
2011,Ganska bra förslag,28,415
2012,Ganska bra förslag,27,376
2013,Ganska bra förslag,25,372
2019,Ganska bra förslag,24,380
2020,Ganska bra förslag,21,362
2021,Ganska bra förslag,23,332
2022,Ganska bra förslag,18,284
1996,Varken bra eller dåligt förslag,27,443
1998,Varken bra eller dåligt förslag,32,536
1999,Varken bra eller dåligt förslag,29,461
2000,Varken bra eller dåligt förslag,40,609
2001,Varken bra eller dåligt förslag,40,628
2002,Varken bra eller dåligt förslag,44,712
2011,Varken bra eller dåligt förslag,36,536
2012,Varken bra eller dåligt förslag,44,621
2013,Varken bra eller dåligt förslag,41,616
2019,Varken bra eller dåligt förslag,35,567
2020,Varken bra eller dåligt förslag,39,693
2021,Varken bra eller dåligt förslag,36,531
2022,Varken bra eller dåligt förslag,40,629
1996,Ganska dåligt förslag,16,267
1998,Ganska dåligt förslag,13,212
1999,Ganska dåligt förslag,14,216
2000,Ganska dåligt förslag,11,173
2001,Ganska dåligt förslag,13,198
2002,Ganska dåligt förslag,13,206
2011,Ganska dåligt förslag,13,198
2012,Ganska dåligt förslag,12,166
2013,Ganska dåligt förslag,15,229
2019,Ganska dåligt förslag,18,285
2020,Ganska dåligt förslag,18,319
2021,Ganska dåligt förslag,19,271
2022,Ganska dåligt förslag,20,312
1996,Mycket dåligt förslag,14,222
1998,Mycket dåligt förslag,9,156
1999,Mycket dåligt förslag,9,137
2000,Mycket dåligt förslag,10,153
2001,Mycket dåligt förslag,7,114
2002,Mycket dåligt förslag,13,214
2011,Mycket dåligt förslag,12,179
2012,Mycket dåligt förslag,8,119
2013,Mycket dåligt förslag,10,153
2019,Mycket dåligt förslag,17,268
2020,Mycket dåligt förslag,16,285
2021,Mycket dåligt förslag,18,260
2022,Mycket dåligt förslag,17,271
