År,Svarsalternativ,Procent,Antal svar
1986,Mycket bra förslag,37,572
1987,Mycket bra förslag,37,599
1988,Mycket bra förslag,38,594
2011,Mycket bra förslag,30,440
2012,Mycket bra förslag,34,490
2013,Mycket bra förslag,37,590
2015,Mycket bra förslag,33,495
2016,Mycket bra förslag,33,509
2017,Mycket bra förslag,37,1256
2018,Mycket bra förslag,34,1167
2019,Mycket bra förslag,34,1064
2020,Mycket bra förslag,34,1175
2021,Mycket bra förslag,34,1051
2022,Mycket bra förslag,32,1042
2023,Mycket bra förslag,33,1105
2024,Mycket bra förslag,35,1228
1986,Ganska bra förslag,24,378
1987,Ganska bra förslag,26,415
1988,Ganska bra förslag,25,383
2011,Ganska bra förslag,34,504
2012,Ganska bra förslag,36,521
2013,Ganska bra förslag,31,494
2015,Ganska bra förslag,30,451
2016,Ganska bra förslag,32,491
2017,Ganska bra förslag,31,1068
2018,Ganska bra förslag,29,1017
2019,Ganska bra förslag,32,993
2020,Ganska bra förslag,32,1120
2021,Ganska bra förslag,32,975
2022,Ganska bra förslag,33,1077
2023,Ganska bra förslag,32,1093
2024,Ganska bra förslag,32,1130
1986,Varken bra eller dåligt förslag,21,323
1987,Varken bra eller dåligt förslag,20,328
1988,Varken bra eller dåligt förslag,22,351
2011,Varken bra eller dåligt förslag,21,307
2012,Varken bra eller dåligt förslag,21,304
2013,Varken bra eller dåligt förslag,20,318
2015,Varken bra eller dåligt förslag,23,349
2016,Varken bra eller dåligt förslag,24,371
2017,Varken bra eller dåligt förslag,19,664
2018,Varken bra eller dåligt förslag,22,771
2019,Varken bra eller dåligt förslag,22,672
2020,Varken bra eller dåligt förslag,21,748
2021,Varken bra eller dåligt förslag,22,670
2022,Varken bra eller dåligt förslag,24,784
2023,Varken bra eller dåligt förslag,22,749
2024,Varken bra eller dåligt förslag,22,757
1986,Ganska dåligt förslag,11,165
1987,Ganska dåligt förslag,11,174
1988,Ganska dåligt förslag,11,169
2011,Ganska dåligt förslag,11,167
2012,Ganska dåligt förslag,7,102
2013,Ganska dåligt förslag,8,130
2015,Ganska dåligt förslag,9,139
2016,Ganska dåligt förslag,8,128
2017,Ganska dåligt förslag,10,341
2018,Ganska dåligt förslag,11,377
2019,Ganska dåligt förslag,10,307
2020,Ganska dåligt förslag,10,347
2021,Ganska dåligt förslag,9,279
2022,Ganska dåligt förslag,9,292
2023,Ganska dåligt förslag,10,330
2024,Ganska dåligt förslag,9,301
1986,Mycket dåligt förslag,8,125
1987,Mycket dåligt förslag,6,102
1988,Mycket dåligt förslag,4,67
2011,Mycket dåligt förslag,3,47
2012,Mycket dåligt förslag,3,45
2013,Mycket dåligt förslag,3,49
2015,Mycket dåligt förslag,5,68
2016,Mycket dåligt förslag,3,51
2017,Mycket dåligt förslag,3,113
2018,Mycket dåligt förslag,4,126
2019,Mycket dåligt förslag,3,90
2020,Mycket dåligt förslag,3,100
2021,Mycket dåligt förslag,3,94
2022,Mycket dåligt förslag,3,98
2023,Mycket dåligt förslag,3,103
2024,Mycket dåligt förslag,3,103
