År,Svarsalternativ,Procent,Antal svar
1996,Mycket bra förslag,31,525
1997,Mycket bra förslag,30,506
1998,Mycket bra förslag,22,773
1999,Mycket bra förslag,28,928
2000,Mycket bra förslag,27,904
2001,Mycket bra förslag,31,1060
2002,Mycket bra förslag,29,993
2003,Mycket bra förslag,28,991
2004,Mycket bra förslag,25,861
2005,Mycket bra förslag,26,845
2006,Mycket bra förslag,21,323
2007,Mycket bra förslag,25,398
2008,Mycket bra förslag,22,340
2009,Mycket bra förslag,19,282
2010,Mycket bra förslag,18,291
2011,Mycket bra förslag,22,330
2012,Mycket bra förslag,22,649
2013,Mycket bra förslag,22,341
2014,Mycket bra förslag,18,311
2015,Mycket bra förslag,25,391
2017,Mycket bra förslag,27,485
2018,Mycket bra förslag,24,422
2019,Mycket bra förslag,24,366
2020,Mycket bra förslag,26,462
2021,Mycket bra förslag,27,412
2022,Mycket bra förslag,25,431
2023,Mycket bra förslag,29,493
2024,Mycket bra förslag,27,471
1996,Ganska bra förslag,29,497
1997,Ganska bra förslag,31,518
1998,Ganska bra förslag,27,924
1999,Ganska bra förslag,31,1029
2000,Ganska bra förslag,26,880
2001,Ganska bra förslag,28,958
2002,Ganska bra förslag,27,930
2003,Ganska bra förslag,27,926
2004,Ganska bra förslag,26,898
2005,Ganska bra förslag,26,857
2006,Ganska bra förslag,24,365
2007,Ganska bra förslag,29,462
2008,Ganska bra förslag,25,382
2009,Ganska bra förslag,24,358
2010,Ganska bra förslag,20,318
2011,Ganska bra förslag,24,358
2012,Ganska bra förslag,23,670
2013,Ganska bra förslag,24,365
2014,Ganska bra förslag,21,356
2015,Ganska bra förslag,25,395
2017,Ganska bra förslag,25,440
2018,Ganska bra förslag,23,415
2019,Ganska bra förslag,22,345
2020,Ganska bra förslag,25,449
2021,Ganska bra förslag,25,393
2022,Ganska bra förslag,26,450
2023,Ganska bra förslag,26,442
2024,Ganska bra förslag,26,463
1996,Varken bra eller dåligt förslag,21,347
1997,Varken bra eller dåligt förslag,20,336
1998,Varken bra eller dåligt förslag,23,799
1999,Varken bra eller dåligt förslag,21,707
2000,Varken bra eller dåligt förslag,23,756
2001,Varken bra eller dåligt förslag,20,689
2002,Varken bra eller dåligt förslag,22,750
2003,Varken bra eller dåligt förslag,23,786
2004,Varken bra eller dåligt förslag,22,741
2005,Varken bra eller dåligt förslag,24,791
2006,Varken bra eller dåligt förslag,24,371
2007,Varken bra eller dåligt förslag,20,324
2008,Varken bra eller dåligt förslag,23,362
2009,Varken bra eller dåligt förslag,26,384
2010,Varken bra eller dåligt förslag,23,369
2011,Varken bra eller dåligt förslag,24,361
2012,Varken bra eller dåligt förslag,25,735
2013,Varken bra eller dåligt förslag,22,337
2014,Varken bra eller dåligt förslag,21,359
2015,Varken bra eller dåligt förslag,20,325
2017,Varken bra eller dåligt förslag,21,378
2018,Varken bra eller dåligt förslag,21,365
2019,Varken bra eller dåligt förslag,23,357
2020,Varken bra eller dåligt förslag,22,387
2021,Varken bra eller dåligt förslag,22,344
2022,Varken bra eller dåligt förslag,22,391
2023,Varken bra eller dåligt förslag,24,410
2024,Varken bra eller dåligt förslag,20,355
1996,Ganska dåligt förslag,10,171
1997,Ganska dåligt förslag,11,181
1998,Ganska dåligt förslag,15,512
1999,Ganska dåligt förslag,11,380
2000,Ganska dåligt förslag,15,505
2001,Ganska dåligt förslag,13,447
2002,Ganska dåligt förslag,13,436
2003,Ganska dåligt förslag,14,474
2004,Ganska dåligt förslag,16,547
2005,Ganska dåligt förslag,15,505
2006,Ganska dåligt förslag,18,273
2007,Ganska dåligt förslag,16,261
2008,Ganska dåligt förslag,17,260
2009,Ganska dåligt förslag,20,298
2010,Ganska dåligt förslag,20,314
2011,Ganska dåligt förslag,18,266
2012,Ganska dåligt förslag,16,481
2013,Ganska dåligt förslag,18,283
2014,Ganska dåligt förslag,17,294
2015,Ganska dåligt förslag,15,246
2017,Ganska dåligt förslag,13,230
2018,Ganska dåligt förslag,17,304
2019,Ganska dåligt förslag,16,255
2020,Ganska dåligt förslag,16,277
2021,Ganska dåligt förslag,14,223
2022,Ganska dåligt förslag,15,259
2023,Ganska dåligt förslag,13,215
2024,Ganska dåligt förslag,15,256
1996,Mycket dåligt förslag,9,156
1997,Mycket dåligt förslag,8,131
1998,Mycket dåligt förslag,13,438
1999,Mycket dåligt förslag,9,284
2000,Mycket dåligt förslag,9,315
2001,Mycket dåligt förslag,8,274
2002,Mycket dåligt förslag,9,295
2003,Mycket dåligt förslag,9,319
2004,Mycket dåligt förslag,11,358
2005,Mycket dåligt förslag,9,307
2006,Mycket dåligt förslag,13,204
2007,Mycket dåligt förslag,9,148
2008,Mycket dåligt förslag,13,201
2009,Mycket dåligt förslag,12,186
2010,Mycket dåligt förslag,18,291
2011,Mycket dåligt förslag,13,204
2012,Mycket dåligt förslag,14,427
2013,Mycket dåligt förslag,14,218
2014,Mycket dåligt förslag,22,366
2015,Mycket dåligt förslag,15,238
2017,Mycket dåligt förslag,14,241
2018,Mycket dåligt förslag,15,269
2019,Mycket dåligt förslag,15,235
2020,Mycket dåligt förslag,11,199
2021,Mycket dåligt förslag,11,177
2022,Mycket dåligt förslag,13,220
2023,Mycket dåligt förslag,9,155
2024,Mycket dåligt förslag,12,219
