År,Kön,Svarsalternativ,Procent,Antal svar
1996,Man,Bra förslag,50,400
1996,Man,Varken bra eller dåligt förslag,24,192
1996,Man,Dåligt förslag,27,214
1997,Man,Bra förslag,52,432
1997,Man,Varken bra eller dåligt förslag,24,197
1997,Man,Dåligt förslag,24,201
1998,Man,Dåligt förslag,35,605
1998,Man,Bra förslag,40,688
1998,Man,Varken bra eller dåligt förslag,24,414
1999,Man,Dåligt förslag,26,431
1999,Man,Varken bra eller dåligt förslag,24,395
1999,Man,Bra förslag,50,830
2000,Man,Bra förslag,44,721
2000,Man,Varken bra eller dåligt förslag,25,407
2000,Man,Dåligt förslag,32,529
2001,Man,Varken bra eller dåligt förslag,22,372
2001,Man,Bra förslag,49,832
2001,Man,Dåligt förslag,30,508
2002,Man,Dåligt förslag,30,497
2002,Man,Varken bra eller dåligt förslag,24,385
2002,Man,Bra förslag,46,750
2003,Man,Dåligt förslag,31,528
2003,Man,Bra förslag,44,746
2003,Man,Varken bra eller dåligt förslag,25,423
2004,Man,Dåligt förslag,35,584
2004,Man,Bra förslag,42,706
2004,Man,Varken bra eller dåligt förslag,23,384
2005,Man,Dåligt förslag,33,533
2005,Man,Bra förslag,41,656
2005,Man,Varken bra eller dåligt förslag,26,420
2006,Man,Varken bra eller dåligt förslag,24,181
2006,Man,Bra förslag,35,257
2006,Man,Dåligt förslag,41,304
2007,Man,Bra förslag,42,321
2007,Man,Varken bra eller dåligt förslag,22,166
2007,Man,Dåligt förslag,36,272
2008,Man,Dåligt förslag,39,287
2008,Man,Varken bra eller dåligt förslag,23,168
2008,Man,Bra förslag,38,276
2009,Man,Dåligt förslag,40,301
2009,Man,Bra förslag,34,250
2009,Man,Varken bra eller dåligt förslag,26,193
2010,Man,Varken bra eller dåligt förslag,23,172
2010,Man,Bra förslag,28,207
2010,Man,Dåligt förslag,49,371
2011,Man,Varken bra eller dåligt förslag,25,180
2011,Man,Bra förslag,35,253
2011,Man,Dåligt förslag,39,281
2012,Man,Varken bra eller dåligt förslag,25,360
2012,Man,Bra förslag,34,490
2012,Man,Dåligt förslag,41,595
2013,Man,Varken bra eller dåligt förslag,22,158
2013,Man,Bra förslag,38,274
2013,Man,Dåligt förslag,41,298
2014,Man,Bra förslag,31,248
2014,Man,Dåligt förslag,48,379
2014,Man,Varken bra eller dåligt förslag,20,161
2015,Man,Dåligt förslag,40,298
2015,Man,Bra förslag,41,302
2015,Man,Varken bra eller dåligt förslag,19,140
2017,Man,Dåligt förslag,36,299
2017,Man,Bra förslag,41,348
2017,Man,Varken bra eller dåligt förslag,23,195
2018,Man,Bra förslag,38,327
2018,Man,Varken bra eller dåligt förslag,20,173
2018,Man,Dåligt förslag,41,350
2019,Man,Varken bra eller dåligt förslag,22,162
2019,Man,Bra förslag,38,280
2019,Man,Dåligt förslag,41,301
2020,Man,Varken bra eller dåligt förslag,22,187
2020,Man,Bra förslag,43,363
2020,Man,Dåligt förslag,35,290
2021,Man,Bra förslag,42,306
2021,Man,Varken bra eller dåligt förslag,23,166
2021,Man,Dåligt förslag,35,251
2022,Man,Dåligt förslag,35,296
2022,Man,Bra förslag,43,365
2022,Man,Varken bra eller dåligt förslag,22,191
2023,Man,Dåligt förslag,29,227
2023,Man,Bra förslag,46,359
2023,Man,Varken bra eller dåligt förslag,25,200
2024,Man,Bra förslag,42,354
2024,Man,Varken bra eller dåligt förslag,22,187
2024,Man,Dåligt förslag,36,298
1996,Man,Mycket bra förslag,25,200
1997,Man,Mycket bra förslag,25,205
1998,Man,Mycket bra förslag,16,273
1999,Man,Mycket bra förslag,21,347
2000,Man,Mycket bra förslag,20,330
2001,Man,Mycket bra förslag,23,390
2002,Man,Mycket bra förslag,21,339
2003,Man,Mycket bra förslag,21,359
2004,Man,Mycket bra förslag,19,309
2005,Man,Mycket bra förslag,18,292
2006,Man,Mycket bra förslag,16,118
2007,Man,Mycket bra förslag,18,138
2008,Man,Mycket bra förslag,17,125
2009,Man,Mycket bra förslag,14,107
2010,Man,Mycket bra förslag,12,88
2011,Man,Mycket bra förslag,16,113
2012,Man,Mycket bra förslag,15,220
2013,Man,Mycket bra förslag,16,120
2014,Man,Mycket bra förslag,13,105
2015,Man,Mycket bra förslag,20,145
2017,Man,Mycket bra förslag,19,163
2018,Man,Mycket bra förslag,18,149
2019,Man,Mycket bra förslag,18,135
2020,Man,Mycket bra förslag,19,162
2021,Man,Mycket bra förslag,20,147
2022,Man,Mycket bra förslag,20,169
2023,Man,Mycket bra förslag,22,173
2024,Man,Mycket bra förslag,20,165
1996,Man,Ganska bra förslag,25,200
1997,Man,Ganska bra förslag,27,227
1998,Man,Ganska bra förslag,24,415
1999,Man,Ganska bra förslag,29,483
2000,Man,Ganska bra förslag,24,391
2001,Man,Ganska bra förslag,26,442
2002,Man,Ganska bra förslag,25,411
2003,Man,Ganska bra förslag,23,387
2004,Man,Ganska bra förslag,24,397
2005,Man,Ganska bra förslag,23,364
2006,Man,Ganska bra förslag,19,139
2007,Man,Ganska bra förslag,24,183
2008,Man,Ganska bra förslag,21,151
2009,Man,Ganska bra förslag,19,143
2010,Man,Ganska bra förslag,16,119
2011,Man,Ganska bra förslag,20,140
2012,Man,Ganska bra förslag,19,270
2013,Man,Ganska bra förslag,21,154
2014,Man,Ganska bra förslag,18,143
2015,Man,Ganska bra förslag,21,157
2017,Man,Ganska bra förslag,22,185
2018,Man,Ganska bra förslag,21,178
2019,Man,Ganska bra förslag,20,145
2020,Man,Ganska bra förslag,24,201
2021,Man,Ganska bra förslag,22,159
2022,Man,Ganska bra förslag,23,196
2023,Man,Ganska bra förslag,24,186
2024,Man,Ganska bra förslag,23,189
1996,Man,Varken bra eller dåligt förslag,24,192
1997,Man,Varken bra eller dåligt förslag,24,197
1998,Man,Varken bra eller dåligt förslag,24,414
1999,Man,Varken bra eller dåligt förslag,24,395
2000,Man,Varken bra eller dåligt förslag,25,407
2001,Man,Varken bra eller dåligt förslag,22,372
2002,Man,Varken bra eller dåligt förslag,24,385
2003,Man,Varken bra eller dåligt förslag,25,423
2004,Man,Varken bra eller dåligt förslag,23,384
2005,Man,Varken bra eller dåligt förslag,26,420
2006,Man,Varken bra eller dåligt förslag,24,181
2007,Man,Varken bra eller dåligt förslag,22,166
2008,Man,Varken bra eller dåligt förslag,23,168
2009,Man,Varken bra eller dåligt förslag,26,193
2010,Man,Varken bra eller dåligt förslag,23,172
2011,Man,Varken bra eller dåligt förslag,25,180
2012,Man,Varken bra eller dåligt förslag,25,360
2013,Man,Varken bra eller dåligt förslag,22,158
2014,Man,Varken bra eller dåligt förslag,20,161
2015,Man,Varken bra eller dåligt förslag,19,140
2017,Man,Varken bra eller dåligt förslag,23,195
2018,Man,Varken bra eller dåligt förslag,20,173
2019,Man,Varken bra eller dåligt förslag,22,162
2020,Man,Varken bra eller dåligt förslag,22,187
2021,Man,Varken bra eller dåligt förslag,23,166
2022,Man,Varken bra eller dåligt förslag,22,191
2023,Man,Varken bra eller dåligt förslag,25,200
2024,Man,Varken bra eller dåligt förslag,22,187
1996,Man,Ganska dåligt förslag,13,107
1997,Man,Ganska dåligt förslag,13,104
1998,Man,Ganska dåligt förslag,18,299
1999,Man,Ganska dåligt förslag,14,237
2000,Man,Ganska dåligt förslag,19,309
2001,Man,Ganska dåligt förslag,18,302
2002,Man,Ganska dåligt förslag,18,287
2003,Man,Ganska dåligt förslag,18,297
2004,Man,Ganska dåligt förslag,19,322
2005,Man,Ganska dåligt förslag,19,311
2006,Man,Ganska dåligt förslag,22,165
2007,Man,Ganska dåligt förslag,22,165
2008,Man,Ganska dåligt förslag,19,139
2009,Man,Ganska dåligt förslag,23,173
2010,Man,Ganska dåligt förslag,24,178
2011,Man,Ganska dåligt förslag,21,149
2012,Man,Ganska dåligt förslag,20,294
2013,Man,Ganska dåligt förslag,22,159
2014,Man,Ganska dåligt förslag,21,163
2015,Man,Ganska dåligt förslag,20,149
2017,Man,Ganska dåligt förslag,16,132
2018,Man,Ganska dåligt förslag,21,176
2019,Man,Ganska dåligt förslag,19,144
2020,Man,Ganska dåligt förslag,18,154
2021,Man,Ganska dåligt förslag,18,129
2022,Man,Ganska dåligt förslag,17,148
2023,Man,Ganska dåligt förslag,16,122
2024,Man,Ganska dåligt förslag,17,146
1996,Man,Mycket dåligt förslag,13,107
1997,Man,Mycket dåligt förslag,12,97
1998,Man,Mycket dåligt förslag,18,306
1999,Man,Mycket dåligt förslag,12,194
2000,Man,Mycket dåligt förslag,13,220
2001,Man,Mycket dåligt förslag,12,206
2002,Man,Mycket dåligt förslag,13,210
2003,Man,Mycket dåligt förslag,14,231
2004,Man,Mycket dåligt förslag,16,262
2005,Man,Mycket dåligt förslag,14,222
2006,Man,Mycket dåligt förslag,19,139
2007,Man,Mycket dåligt förslag,14,107
2008,Man,Mycket dåligt förslag,20,148
2009,Man,Mycket dåligt förslag,17,128
2010,Man,Mycket dåligt förslag,26,193
2011,Man,Mycket dåligt förslag,19,132
2012,Man,Mycket dåligt förslag,21,301
2013,Man,Mycket dåligt förslag,19,139
2014,Man,Mycket dåligt förslag,27,216
2015,Man,Mycket dåligt förslag,20,149
2017,Man,Mycket dåligt förslag,20,167
2018,Man,Mycket dåligt förslag,21,174
2019,Man,Mycket dåligt förslag,21,157
2020,Man,Mycket dåligt förslag,16,136
2021,Man,Mycket dåligt förslag,17,122
2022,Man,Mycket dåligt förslag,17,148
2023,Man,Mycket dåligt förslag,13,105
2024,Man,Mycket dåligt förslag,18,152
