År,Svarsalternativ,Procent,Antal svar
1990,Mycket bra förslag,18,275
1991,Mycket bra förslag,22,326
1992,Mycket bra förslag,23,422
1993,Mycket bra förslag,24,421
1994,Mycket bra förslag,20,325
1995,Mycket bra förslag,15,262
1997,Mycket bra förslag,12,202
1998,Mycket bra förslag,12,423
1999,Mycket bra förslag,14,444
2000,Mycket bra förslag,13,416
2001,Mycket bra förslag,15,524
2002,Mycket bra förslag,16,279
2003,Mycket bra förslag,15,259
2004,Mycket bra förslag,14,479
2005,Mycket bra förslag,12,383
2006,Mycket bra förslag,13,395
2007,Mycket bra förslag,21,678
2008,Mycket bra förslag,17,526
2009,Mycket bra förslag,19,901
2018,Mycket bra förslag,17,293
1990,Ganska bra förslag,30,460
1991,Ganska bra förslag,32,476
1992,Ganska bra förslag,33,606
1993,Ganska bra förslag,35,620
1994,Ganska bra förslag,32,528
1995,Ganska bra förslag,31,540
1997,Ganska bra förslag,33,538
1998,Ganska bra förslag,32,1081
1999,Ganska bra förslag,33,1074
2000,Ganska bra förslag,31,1017
2001,Ganska bra förslag,31,1076
2002,Ganska bra förslag,31,527
2003,Ganska bra förslag,31,547
2004,Ganska bra förslag,30,1010
2005,Ganska bra förslag,32,1043
2006,Ganska bra förslag,30,949
2007,Ganska bra förslag,35,1128
2008,Ganska bra förslag,34,1039
2009,Ganska bra förslag,34,1608
2018,Ganska bra förslag,29,502
1990,Varken bra eller dåligt förslag,30,452
1991,Varken bra eller dåligt förslag,28,425
1992,Varken bra eller dåligt förslag,28,513
1993,Varken bra eller dåligt förslag,25,436
1994,Varken bra eller dåligt förslag,32,522
1995,Varken bra eller dåligt förslag,33,564
1997,Varken bra eller dåligt förslag,36,590
1998,Varken bra eller dåligt förslag,32,1085
1999,Varken bra eller dåligt förslag,32,1044
2000,Varken bra eller dåligt förslag,35,1171
2001,Varken bra eller dåligt förslag,34,1150
2002,Varken bra eller dåligt förslag,31,528
2003,Varken bra eller dåligt förslag,31,547
2004,Varken bra eller dåligt förslag,31,1064
2005,Varken bra eller dåligt förslag,34,1105
2006,Varken bra eller dåligt förslag,34,1079
2007,Varken bra eller dåligt förslag,30,959
2008,Varken bra eller dåligt förslag,31,974
2009,Varken bra eller dåligt förslag,30,1400
2018,Varken bra eller dåligt förslag,27,478
1990,Ganska dåligt förslag,16,234
1991,Ganska dåligt förslag,13,198
1992,Ganska dåligt förslag,11,199
1993,Ganska dåligt förslag,12,220
1994,Ganska dåligt förslag,13,212
1995,Ganska dåligt förslag,15,263
1997,Ganska dåligt förslag,14,238
1998,Ganska dåligt förslag,19,639
1999,Ganska dåligt förslag,17,555
2000,Ganska dåligt förslag,16,542
2001,Ganska dåligt förslag,15,529
2002,Ganska dåligt förslag,18,307
2003,Ganska dåligt förslag,18,314
2004,Ganska dåligt förslag,18,624
2005,Ganska dåligt förslag,18,577
2006,Ganska dåligt förslag,18,579
2007,Ganska dåligt förslag,11,356
2008,Ganska dåligt förslag,14,424
2009,Ganska dåligt förslag,13,609
2018,Ganska dåligt förslag,18,304
1990,Mycket dåligt förslag,6,93
1991,Mycket dåligt förslag,5,78
1992,Mycket dåligt förslag,4,76
1993,Mycket dåligt förslag,4,78
1994,Mycket dåligt förslag,4,57
1995,Mycket dåligt förslag,6,99
1997,Mycket dåligt förslag,5,85
1998,Mycket dåligt förslag,6,200
1999,Mycket dåligt förslag,6,181
2000,Mycket dåligt förslag,5,177
2001,Mycket dåligt förslag,4,145
2002,Mycket dåligt förslag,5,81
2003,Mycket dåligt förslag,5,91
2004,Mycket dåligt förslag,7,221
2005,Mycket dåligt förslag,6,189
2006,Mycket dåligt förslag,5,166
2007,Mycket dåligt förslag,4,123
2008,Mycket dåligt förslag,5,139
2009,Mycket dåligt förslag,4,177
2018,Mycket dåligt förslag,10,165
