År,Svarsalternativ,Procent,Antal svar
1998,Mycket bra förslag,23,779
1999,Mycket bra förslag,22,727
2000,Mycket bra förslag,23,404
2001,Mycket bra förslag,20,694
2002,Mycket bra förslag,18,600
2003,Mycket bra förslag,15,524
2004,Mycket bra förslag,15,520
2005,Mycket bra förslag,15,234
2006,Mycket bra förslag,16,250
2007,Mycket bra förslag,18,281
2008,Mycket bra förslag,17,256
2009,Mycket bra förslag,20,308
2010,Mycket bra förslag,21,327
2011,Mycket bra förslag,21,302
2012,Mycket bra förslag,19,280
2013,Mycket bra förslag,23,759
2014,Mycket bra förslag,20,653
2015,Mycket bra förslag,21,339
2016,Mycket bra förslag,21,625
2017,Mycket bra förslag,25,818
2018,Mycket bra förslag,22,385
2019,Mycket bra förslag,18,300
2020,Mycket bra förslag,19,349
2021,Mycket bra förslag,17,265
2022,Mycket bra förslag,14,240
2023,Mycket bra förslag,14,228
2024,Mycket bra förslag,13,224
1998,Ganska bra förslag,26,888
1999,Ganska bra förslag,24,815
2000,Ganska bra förslag,24,410
2001,Ganska bra förslag,22,762
2002,Ganska bra förslag,25,832
2003,Ganska bra förslag,20,709
2004,Ganska bra förslag,20,689
2005,Ganska bra förslag,21,341
2006,Ganska bra förslag,23,358
2007,Ganska bra förslag,23,356
2008,Ganska bra förslag,24,375
2009,Ganska bra förslag,19,282
2010,Ganska bra förslag,19,303
2011,Ganska bra förslag,22,328
2012,Ganska bra förslag,25,360
2013,Ganska bra förslag,23,744
2014,Ganska bra förslag,24,773
2015,Ganska bra förslag,23,371
2016,Ganska bra förslag,24,737
2017,Ganska bra förslag,24,791
2018,Ganska bra förslag,24,406
2019,Ganska bra förslag,22,357
2020,Ganska bra förslag,22,390
2021,Ganska bra förslag,19,293
2022,Ganska bra förslag,16,271
2023,Ganska bra förslag,17,277
2024,Ganska bra förslag,15,262
1998,Varken bra eller dåligt förslag,22,744
1999,Varken bra eller dåligt förslag,23,764
2000,Varken bra eller dåligt förslag,22,376
2001,Varken bra eller dåligt förslag,24,837
2002,Varken bra eller dåligt förslag,25,849
2003,Varken bra eller dåligt förslag,24,832
2004,Varken bra eller dåligt förslag,24,821
2005,Varken bra eller dåligt förslag,21,341
2006,Varken bra eller dåligt förslag,25,378
2007,Varken bra eller dåligt förslag,26,404
2008,Varken bra eller dåligt förslag,21,315
2009,Varken bra eller dåligt förslag,26,389
2010,Varken bra eller dåligt förslag,28,439
2011,Varken bra eller dåligt förslag,29,429
2012,Varken bra eller dåligt förslag,29,428
2013,Varken bra eller dåligt förslag,26,848
2014,Varken bra eller dåligt förslag,26,859
2015,Varken bra eller dåligt förslag,25,414
2016,Varken bra eller dåligt förslag,26,799
2017,Varken bra eller dåligt förslag,25,812
2018,Varken bra eller dåligt förslag,21,368
2019,Varken bra eller dåligt förslag,22,369
2020,Varken bra eller dåligt förslag,26,475
2021,Varken bra eller dåligt förslag,19,296
2022,Varken bra eller dåligt förslag,18,314
2023,Varken bra eller dåligt förslag,21,345
2024,Varken bra eller dåligt förslag,23,400
1998,Ganska dåligt förslag,17,573
1999,Ganska dåligt förslag,17,561
2000,Ganska dåligt förslag,19,330
2001,Ganska dåligt förslag,18,626
2002,Ganska dåligt förslag,18,617
2003,Ganska dåligt förslag,21,734
2004,Ganska dåligt förslag,21,703
2005,Ganska dåligt förslag,22,358
2006,Ganska dåligt förslag,19,288
2007,Ganska dåligt förslag,18,289
2008,Ganska dåligt förslag,23,359
2009,Ganska dåligt förslag,19,286
2010,Ganska dåligt förslag,17,268
2011,Ganska dåligt förslag,17,247
2012,Ganska dåligt förslag,16,229
2013,Ganska dåligt förslag,16,516
2014,Ganska dåligt förslag,18,602
2015,Ganska dåligt förslag,16,267
2016,Ganska dåligt förslag,17,519
2017,Ganska dåligt förslag,15,495
2018,Ganska dåligt förslag,18,313
2019,Ganska dåligt förslag,19,321
2020,Ganska dåligt förslag,18,327
2021,Ganska dåligt förslag,21,321
2022,Ganska dåligt förslag,23,387
2023,Ganska dåligt förslag,22,371
2024,Ganska dåligt förslag,24,421
1998,Mycket dåligt förslag,13,462
1999,Mycket dåligt förslag,14,474
2000,Mycket dåligt förslag,13,228
2001,Mycket dåligt förslag,15,509
2002,Mycket dåligt förslag,15,501
2003,Mycket dåligt förslag,20,688
2004,Mycket dåligt förslag,20,665
2005,Mycket dåligt förslag,21,336
2006,Mycket dåligt förslag,17,267
2007,Mycket dåligt förslag,16,246
2008,Mycket dåligt förslag,15,235
2009,Mycket dåligt förslag,17,250
2010,Mycket dåligt förslag,16,250
2011,Mycket dåligt förslag,11,157
2012,Mycket dåligt förslag,11,162
2013,Mycket dåligt förslag,12,372
2014,Mycket dåligt förslag,12,400
2015,Mycket dåligt förslag,15,236
2016,Mycket dåligt förslag,12,369
2017,Mycket dåligt förslag,11,359
2018,Mycket dåligt förslag,15,253
2019,Mycket dåligt förslag,19,315
2020,Mycket dåligt förslag,15,267
2021,Mycket dåligt förslag,23,347
2022,Mycket dåligt förslag,29,501
2023,Mycket dåligt förslag,26,434
2024,Mycket dåligt förslag,25,430
