År,Svarsalternativ,Procent,Antal svar
1998,Mycket bra förslag,20,334
2000,Mycket bra förslag,9,146
2001,Mycket bra förslag,9,153
2012,Mycket bra förslag,12,178
2016,Mycket bra förslag,12,181
2020,Mycket bra förslag,18,317
2022,Mycket bra förslag,20,323
1998,Ganska bra förslag,32,533
2000,Ganska bra förslag,21,342
2001,Ganska bra förslag,21,355
2012,Ganska bra förslag,26,372
2016,Ganska bra förslag,28,413
2020,Ganska bra förslag,39,699
2022,Ganska bra förslag,39,640
1998,Varken bra eller dåligt förslag,25,422
2000,Varken bra eller dåligt förslag,29,466
2001,Varken bra eller dåligt förslag,28,468
2012,Varken bra eller dåligt förslag,32,467
2016,Varken bra eller dåligt förslag,34,500
2020,Varken bra eller dåligt förslag,28,496
2022,Varken bra eller dåligt förslag,29,474
1998,Ganska dåligt förslag,15,251
2000,Ganska dåligt förslag,26,414
2001,Ganska dåligt förslag,25,417
2012,Ganska dåligt förslag,18,267
2016,Ganska dåligt förslag,15,218
2020,Ganska dåligt förslag,10,183
2022,Ganska dåligt förslag,10,168
1998,Mycket dåligt förslag,8,129
2000,Mycket dåligt förslag,15,233
2001,Mycket dåligt förslag,16,269
2012,Mycket dåligt förslag,12,174
2016,Mycket dåligt förslag,12,180
2020,Mycket dåligt förslag,5,83
2022,Mycket dåligt förslag,3,51
