År,Svarsalternativ,Procent,Antal svar
2002,Mycket bra förslag,2,40
2013,Mycket bra förslag,5,83
2014,Mycket bra förslag,7,112
2015,Mycket bra förslag,6,105
2016,Mycket bra förslag,5,70
2017,Mycket bra förslag,6,110
2018,Mycket bra förslag,7,122
2019,Mycket bra förslag,7,105
2020,Mycket bra förslag,6,112
2021,Mycket bra förslag,6,91
2022,Mycket bra förslag,7,114
2023,Mycket bra förslag,8,124
2024,Mycket bra förslag,10,167
2002,Ganska bra förslag,13,208
2013,Ganska bra förslag,16,256
2014,Ganska bra förslag,21,354
2015,Ganska bra förslag,23,377
2016,Ganska bra förslag,21,322
2017,Ganska bra förslag,23,398
2018,Ganska bra förslag,19,321
2019,Ganska bra förslag,22,345
2020,Ganska bra förslag,16,284
2021,Ganska bra förslag,19,285
2022,Ganska bra förslag,22,361
2023,Ganska bra förslag,24,390
2024,Ganska bra förslag,28,475
2002,Varken bra eller dåligt förslag,36,597
2013,Varken bra eller dåligt förslag,37,577
2014,Varken bra eller dåligt förslag,36,598
2015,Varken bra eller dåligt förslag,32,526
2016,Varken bra eller dåligt förslag,33,515
2017,Varken bra eller dåligt förslag,38,651
2018,Varken bra eller dåligt förslag,37,638
2019,Varken bra eller dåligt förslag,40,628
2020,Varken bra eller dåligt förslag,41,728
2021,Varken bra eller dåligt förslag,38,589
2022,Varken bra eller dåligt förslag,40,651
2023,Varken bra eller dåligt förslag,38,624
2024,Varken bra eller dåligt förslag,41,691
2002,Ganska dåligt förslag,26,434
2013,Ganska dåligt förslag,23,357
2014,Ganska dåligt förslag,19,310
2015,Ganska dåligt förslag,21,335
2016,Ganska dåligt förslag,19,298
2017,Ganska dåligt förslag,18,307
2018,Ganska dåligt förslag,18,311
2019,Ganska dåligt förslag,19,295
2020,Ganska dåligt förslag,19,339
2021,Ganska dåligt förslag,20,308
2022,Ganska dåligt förslag,19,317
2023,Ganska dåligt förslag,17,281
2024,Ganska dåligt förslag,14,235
2002,Mycket dåligt förslag,23,371
2013,Mycket dåligt förslag,19,291
2014,Mycket dåligt förslag,17,278
2015,Mycket dåligt förslag,18,293
2016,Mycket dåligt förslag,22,343
2017,Mycket dåligt förslag,14,244
2018,Mycket dåligt förslag,19,322
2019,Mycket dåligt förslag,13,206
2020,Mycket dåligt förslag,17,297
2021,Mycket dåligt förslag,17,265
2022,Mycket dåligt förslag,12,197
2023,Mycket dåligt förslag,13,205
2024,Mycket dåligt förslag,8,138
