År,Svarsalternativ,Procent,Antal svar
1998,Mycket bra förslag,4,64
2006,Mycket bra förslag,2,35
2012,Mycket bra förslag,2,27
2022,Mycket bra förslag,4,66
1998,Ganska bra förslag,7,123
2006,Ganska bra förslag,7,100
2012,Ganska bra förslag,7,107
2022,Ganska bra förslag,4,67
1998,Varken bra eller dåligt förslag,29,483
2006,Varken bra eller dåligt förslag,24,368
2012,Varken bra eller dåligt förslag,31,452
2022,Varken bra eller dåligt förslag,28,429
1998,Ganska dåligt förslag,28,462
2006,Ganska dåligt förslag,30,466
2012,Ganska dåligt förslag,29,426
2022,Ganska dåligt förslag,19,291
1998,Mycket dåligt förslag,32,536
2006,Mycket dåligt förslag,37,574
2012,Mycket dåligt förslag,31,450
2022,Mycket dåligt förslag,45,686
