År,Svarsalternativ,Procent,Antal svar
1998,Mycket bra förslag,2,34
2000,Mycket bra förslag,3,53
2001,Mycket bra förslag,5,76
2006,Mycket bra förslag,2,38
2012,Mycket bra förslag,2,29
1998,Ganska bra förslag,7,113
2000,Ganska bra förslag,6,89
2001,Ganska bra förslag,9,151
2006,Ganska bra förslag,8,124
2012,Ganska bra förslag,6,85
1998,Varken bra eller dåligt förslag,14,239
2000,Varken bra eller dåligt förslag,14,221
2001,Varken bra eller dåligt förslag,15,250
2006,Varken bra eller dåligt förslag,14,217
2012,Varken bra eller dåligt förslag,13,187
1998,Ganska dåligt förslag,33,555
2000,Ganska dåligt förslag,34,553
2001,Ganska dåligt förslag,33,558
2006,Ganska dåligt förslag,31,479
2012,Ganska dåligt förslag,36,536
1998,Mycket dåligt förslag,44,747
2000,Mycket dåligt förslag,43,698
2001,Mycket dåligt förslag,38,635
2006,Mycket dåligt förslag,45,709
2012,Mycket dåligt förslag,44,645
