År,Svarsalternativ,Procent,Antal svar
2011,Mycket bra förslag,20,300
2013,Mycket bra förslag,28,448
2014,Mycket bra förslag,27,449
2015,Mycket bra förslag,27,436
2016,Mycket bra förslag,29,467
2017,Mycket bra förslag,31,559
2020,Mycket bra förslag,28,498
2024,Mycket bra förslag,25,437
2011,Ganska bra förslag,24,367
2013,Ganska bra förslag,24,385
2014,Ganska bra förslag,22,367
2015,Ganska bra förslag,22,356
2016,Ganska bra förslag,22,356
2017,Ganska bra förslag,23,413
2020,Ganska bra förslag,24,429
2024,Ganska bra förslag,23,411
2011,Varken bra eller dåligt förslag,37,562
2013,Varken bra eller dåligt förslag,23,365
2014,Varken bra eller dåligt förslag,30,488
2015,Varken bra eller dåligt förslag,27,441
2016,Varken bra eller dåligt förslag,30,489
2017,Varken bra eller dåligt förslag,25,445
2020,Varken bra eller dåligt förslag,27,476
2024,Varken bra eller dåligt förslag,27,473
2011,Ganska dåligt förslag,8,113
2013,Ganska dåligt förslag,5,83
2014,Ganska dåligt förslag,6,102
2015,Ganska dåligt förslag,5,82
2016,Ganska dåligt förslag,6,90
2017,Ganska dåligt förslag,5,95
2020,Ganska dåligt förslag,5,93
2024,Ganska dåligt förslag,7,121
2011,Mycket dåligt förslag,10,156
2013,Mycket dåligt förslag,8,132
2014,Mycket dåligt förslag,6,101
2015,Mycket dåligt förslag,7,119
2016,Mycket dåligt förslag,7,116
2017,Mycket dåligt förslag,7,127
2020,Mycket dåligt förslag,6,106
2024,Mycket dåligt förslag,9,152
2011,Ingen uppfattning,1,9
2013,Ingen uppfattning,11,166
2014,Ingen uppfattning,8,134
2015,Ingen uppfattning,11,182
2016,Ingen uppfattning,7,114
2017,Ingen uppfattning,8,148
2020,Ingen uppfattning,10,170
2024,Ingen uppfattning,10,186
