År,Svarsalternativ,Procent,Antal svar
1993,Mycket bra förslag,42,752
1994,Mycket bra förslag,41,681
1995,Mycket bra förslag,49,858
1996,Mycket bra förslag,48,813
1997,Mycket bra förslag,47,786
1998,Mycket bra förslag,46,1580
1999,Mycket bra förslag,43,1435
2000,Mycket bra förslag,46,1547
2001,Mycket bra förslag,50,1716
2002,Mycket bra förslag,48,1628
2003,Mycket bra förslag,51,1784
2004,Mycket bra förslag,52,1780
2005,Mycket bra förslag,43,1438
2006,Mycket bra förslag,50,1598
2007,Mycket bra förslag,55,1790
2008,Mycket bra förslag,49,1542
2009,Mycket bra förslag,47,2237
2010,Mycket bra förslag,50,2407
2011,Mycket bra förslag,48,2185
2012,Mycket bra förslag,52,3127
2013,Mycket bra förslag,56,2692
2014,Mycket bra förslag,52,871
2015,Mycket bra förslag,56,860
2016,Mycket bra förslag,53,790
2017,Mycket bra förslag,66,1160
2018,Mycket bra förslag,59,1036
2019,Mycket bra förslag,58,959
2020,Mycket bra förslag,60,2129
2021,Mycket bra förslag,62,1861
2022,Mycket bra förslag,60,1938
2023,Mycket bra förslag,58,2932
2024,Mycket bra förslag,56,1935
1993,Ganska bra förslag,31,551
1994,Ganska bra förslag,35,585
1995,Ganska bra förslag,30,524
1996,Ganska bra förslag,32,542
1997,Ganska bra förslag,34,566
1998,Ganska bra förslag,35,1203
1999,Ganska bra förslag,34,1144
2000,Ganska bra förslag,33,1125
2001,Ganska bra förslag,33,1135
2002,Ganska bra förslag,34,1157
2003,Ganska bra förslag,32,1115
2004,Ganska bra förslag,31,1046
2005,Ganska bra förslag,36,1201
2006,Ganska bra förslag,32,1027
2007,Ganska bra förslag,31,996
2008,Ganska bra förslag,33,1032
2009,Ganska bra förslag,33,1560
2010,Ganska bra förslag,33,1574
2011,Ganska bra förslag,33,1474
2012,Ganska bra förslag,31,1888
2013,Ganska bra förslag,28,1350
2014,Ganska bra förslag,29,473
2015,Ganska bra förslag,27,409
2016,Ganska bra förslag,29,435
2017,Ganska bra förslag,22,391
2018,Ganska bra förslag,25,443
2019,Ganska bra förslag,25,414
2020,Ganska bra förslag,26,912
2021,Ganska bra förslag,23,694
2022,Ganska bra förslag,25,806
2023,Ganska bra förslag,25,1278
