År,Svarsalternativ,Procent,Antal svar
1986,Mycket bra förslag,19,291
1987,Mycket bra förslag,21,320
1988,Mycket bra förslag,22,331
1989,Mycket bra förslag,22,331
1990,Mycket bra förslag,39,579
1991,Mycket bra förslag,28,407
1992,Mycket bra förslag,21,373
1993,Mycket bra förslag,14,251
1994,Mycket bra förslag,14,220
1995,Mycket bra förslag,12,202
1996,Mycket bra förslag,10,156
1997,Mycket bra förslag,8,124
1998,Mycket bra förslag,10,338
1999,Mycket bra förslag,9,293
2000,Mycket bra förslag,9,303
2001,Mycket bra förslag,8,279
2002,Mycket bra förslag,10,340
2003,Mycket bra förslag,10,349
2004,Mycket bra förslag,11,352
2005,Mycket bra förslag,11,353
2006,Mycket bra förslag,10,320
2007,Mycket bra förslag,8,248
2008,Mycket bra förslag,8,239
2009,Mycket bra förslag,8,344
2010,Mycket bra förslag,7,331
2011,Mycket bra förslag,7,283
2012,Mycket bra förslag,6,339
2013,Mycket bra förslag,6,365
2014,Mycket bra förslag,6,91
2015,Mycket bra förslag,7,94
2016,Mycket bra förslag,6,94
2017,Mycket bra förslag,7,109
2018,Mycket bra förslag,9,152
2019,Mycket bra förslag,7,101
2020,Mycket bra förslag,6,103
2021,Mycket bra förslag,5,78
2022,Mycket bra förslag,7,109
2023,Mycket bra förslag,6,93
2024,Mycket bra förslag,6,95
1986,Ganska bra förslag,21,309
1987,Ganska bra förslag,19,292
1988,Ganska bra förslag,20,303
1989,Ganska bra förslag,23,339
1990,Ganska bra förslag,21,313
1991,Ganska bra förslag,26,386
1992,Ganska bra förslag,22,389
1993,Ganska bra förslag,19,340
1994,Ganska bra förslag,23,364
1995,Ganska bra förslag,18,308
1996,Ganska bra förslag,15,248
1997,Ganska bra förslag,18,285
1998,Ganska bra förslag,19,640
1999,Ganska bra förslag,21,666
2000,Ganska bra förslag,19,606
2001,Ganska bra förslag,18,599
2002,Ganska bra förslag,18,595
2003,Ganska bra förslag,17,566
2004,Ganska bra förslag,19,619
2005,Ganska bra förslag,20,639
2006,Ganska bra förslag,20,622
2007,Ganska bra förslag,20,618
2008,Ganska bra förslag,19,579
2009,Ganska bra förslag,19,851
2010,Ganska bra förslag,21,976
2011,Ganska bra förslag,18,795
2012,Ganska bra förslag,16,954
2013,Ganska bra förslag,15,907
2014,Ganska bra förslag,16,260
2015,Ganska bra förslag,14,208
2016,Ganska bra förslag,18,271
2017,Ganska bra förslag,16,259
2018,Ganska bra förslag,17,289
2019,Ganska bra förslag,14,214
2020,Ganska bra förslag,13,216
2021,Ganska bra förslag,13,190
2022,Ganska bra förslag,14,216
2023,Ganska bra förslag,11,174
2024,Ganska bra förslag,12,191
1986,Varken bra eller dåligt förslag,26,386
1987,Varken bra eller dåligt förslag,24,364
1988,Varken bra eller dåligt förslag,23,352
1989,Varken bra eller dåligt förslag,24,358
1990,Varken bra eller dåligt förslag,20,298
1991,Varken bra eller dåligt förslag,21,313
1992,Varken bra eller dåligt förslag,21,366
1993,Varken bra eller dåligt förslag,22,378
1994,Varken bra eller dåligt förslag,24,389
1995,Varken bra eller dåligt förslag,23,390
1996,Varken bra eller dåligt förslag,23,382
1997,Varken bra eller dåligt förslag,25,406
1998,Varken bra eller dåligt förslag,26,858
1999,Varken bra eller dåligt förslag,27,879
2000,Varken bra eller dåligt förslag,28,912
2001,Varken bra eller dåligt förslag,29,958
2002,Varken bra eller dåligt förslag,29,966
2003,Varken bra eller dåligt förslag,24,826
2004,Varken bra eller dåligt förslag,28,912
2005,Varken bra eller dåligt förslag,29,927
2006,Varken bra eller dåligt förslag,29,895
2007,Varken bra eller dåligt förslag,31,994
2008,Varken bra eller dåligt förslag,32,963
2009,Varken bra eller dåligt förslag,32,1462
2010,Varken bra eller dåligt förslag,32,1489
2011,Varken bra eller dåligt förslag,33,1450
2012,Varken bra eller dåligt förslag,33,1923
2013,Varken bra eller dåligt förslag,31,1929
2014,Varken bra eller dåligt förslag,31,494
2015,Varken bra eller dåligt förslag,31,449
2016,Varken bra eller dåligt förslag,32,471
2017,Varken bra eller dåligt förslag,30,495
2018,Varken bra eller dåligt förslag,33,550
2019,Varken bra eller dåligt förslag,33,498
2020,Varken bra eller dåligt förslag,31,521
2021,Varken bra eller dåligt förslag,31,472
2022,Varken bra eller dåligt förslag,31,503
2023,Varken bra eller dåligt förslag,30,477
2024,Varken bra eller dåligt förslag,31,500
1986,Ganska dåligt förslag,19,283
1987,Ganska dåligt förslag,16,253
1988,Ganska dåligt förslag,18,264
1989,Ganska dåligt förslag,15,223
1990,Ganska dåligt förslag,10,152
