År,Svarsalternativ,Procent,Antal svar
1995,Mycket bra förslag,4,57
1996,Mycket bra förslag,2,37
1997,Mycket bra förslag,3,47
2014,Mycket bra förslag,6,92
2015,Mycket bra förslag,7,111
2016,Mycket bra förslag,5,82
2017,Mycket bra förslag,4,73
2018,Mycket bra förslag,4,74
2019,Mycket bra förslag,4,70
2020,Mycket bra förslag,6,105
2021,Mycket bra förslag,5,69
2022,Mycket bra förslag,4,65
2023,Mycket bra förslag,5,86
2024,Mycket bra förslag,5,89
1995,Ganska bra förslag,19,311
1996,Ganska bra förslag,14,218
1997,Ganska bra förslag,11,174
2014,Ganska bra förslag,20,323
2015,Ganska bra förslag,19,319
2016,Ganska bra förslag,15,243
2017,Ganska bra förslag,14,239
2018,Ganska bra förslag,13,231
2019,Ganska bra förslag,12,195
2020,Ganska bra förslag,13,236
2021,Ganska bra förslag,14,212
2022,Ganska bra förslag,12,211
2023,Ganska bra förslag,13,220
2024,Ganska bra förslag,16,272
1995,Varken bra eller dåligt förslag,28,453
1996,Varken bra eller dåligt förslag,24,384
1997,Varken bra eller dåligt förslag,24,363
2014,Varken bra eller dåligt förslag,30,479
2015,Varken bra eller dåligt förslag,28,470
2016,Varken bra eller dåligt förslag,31,486
2017,Varken bra eller dåligt förslag,31,546
2018,Varken bra eller dåligt förslag,26,446
2019,Varken bra eller dåligt förslag,30,491
2020,Varken bra eller dåligt förslag,28,512
2021,Varken bra eller dåligt förslag,29,440
2022,Varken bra eller dåligt förslag,28,489
2023,Varken bra eller dåligt förslag,31,520
2024,Varken bra eller dåligt förslag,28,492
1995,Ganska dåligt förslag,25,407
1996,Ganska dåligt förslag,33,528
1997,Ganska dåligt förslag,33,502
2014,Ganska dåligt förslag,26,429
2015,Ganska dåligt förslag,24,403
2016,Ganska dåligt förslag,26,401
2017,Ganska dåligt förslag,26,449
2018,Ganska dåligt förslag,28,481
2019,Ganska dåligt förslag,29,487
2020,Ganska dåligt förslag,29,521
2021,Ganska dåligt förslag,28,430
2022,Ganska dåligt förslag,26,454
2023,Ganska dåligt förslag,29,473
2024,Ganska dåligt förslag,27,473
1995,Mycket dåligt förslag,25,414
1996,Mycket dåligt förslag,26,415
1997,Mycket dåligt förslag,29,453
2014,Mycket dåligt förslag,19,301
2015,Mycket dåligt förslag,21,354
2016,Mycket dåligt förslag,23,362
2017,Mycket dåligt förslag,25,439
2018,Mycket dåligt förslag,29,495
2019,Mycket dåligt förslag,25,423
2020,Mycket dåligt förslag,24,433
2021,Mycket dåligt förslag,25,387
2022,Mycket dåligt förslag,30,509
2023,Mycket dåligt förslag,22,358
2024,Mycket dåligt förslag,24,426
