År,Svarsalternativ,Procent,Antal svar
1995,Mycket bra förslag,5,93
1999,Mycket bra förslag,5,76
2000,Mycket bra förslag,6,100
2001,Mycket bra förslag,6,103
2003,Mycket bra förslag,6,95
2005,Mycket bra förslag,8,125
2006,Mycket bra förslag,6,95
2007,Mycket bra förslag,7,121
2008,Mycket bra förslag,9,140
2009,Mycket bra förslag,10,149
2010,Mycket bra förslag,9,136
2011,Mycket bra förslag,9,134
2012,Mycket bra förslag,10,145
2013,Mycket bra förslag,10,162
2014,Mycket bra förslag,8,129
2015,Mycket bra förslag,8,112
2018,Mycket bra förslag,7,123
2022,Mycket bra förslag,6,94
2023,Mycket bra förslag,5,89
2024,Mycket bra förslag,5,87
1995,Ganska bra förslag,6,95
1999,Ganska bra förslag,5,79
2000,Ganska bra förslag,7,107
2001,Ganska bra förslag,6,96
2003,Ganska bra förslag,6,104
2005,Ganska bra förslag,9,138
2006,Ganska bra förslag,7,113
2007,Ganska bra förslag,7,121
2008,Ganska bra förslag,9,136
2009,Ganska bra förslag,7,111
2010,Ganska bra förslag,8,128
2011,Ganska bra förslag,9,138
2012,Ganska bra förslag,7,107
2013,Ganska bra förslag,9,142
2014,Ganska bra förslag,8,126
2015,Ganska bra förslag,9,131
2018,Ganska bra förslag,8,145
2022,Ganska bra förslag,6,97
2023,Ganska bra förslag,6,103
2024,Ganska bra förslag,6,106
1995,Varken bra eller dåligt förslag,21,366
1999,Varken bra eller dåligt förslag,19,315
2000,Varken bra eller dåligt förslag,20,321
2001,Varken bra eller dåligt förslag,19,313
2003,Varken bra eller dåligt förslag,22,375
2005,Varken bra eller dåligt förslag,23,367
2006,Varken bra eller dåligt förslag,20,319
2007,Varken bra eller dåligt förslag,21,352
2008,Varken bra eller dåligt förslag,20,310
2009,Varken bra eller dåligt förslag,23,349
2010,Varken bra eller dåligt förslag,24,374
2011,Varken bra eller dåligt förslag,24,346
2012,Varken bra eller dåligt förslag,24,343
2013,Varken bra eller dåligt förslag,21,327
2014,Varken bra eller dåligt förslag,23,373
2015,Varken bra eller dåligt förslag,18,260
2018,Varken bra eller dåligt förslag,19,325
2022,Varken bra eller dåligt förslag,21,350
2023,Varken bra eller dåligt förslag,19,306
2024,Varken bra eller dåligt förslag,21,354
1995,Ganska dåligt förslag,16,281
1999,Ganska dåligt förslag,19,309
2000,Ganska dåligt förslag,19,306
2001,Ganska dåligt förslag,18,301
2003,Ganska dåligt förslag,17,288
2005,Ganska dåligt förslag,17,279
2006,Ganska dåligt förslag,21,346
2007,Ganska dåligt förslag,18,304
2008,Ganska dåligt förslag,21,337
2009,Ganska dåligt förslag,18,271
2010,Ganska dåligt förslag,18,277
2011,Ganska dåligt förslag,20,286
2012,Ganska dåligt förslag,18,266
2013,Ganska dåligt förslag,16,250
2014,Ganska dåligt förslag,18,298
2015,Ganska dåligt förslag,17,248
2018,Ganska dåligt förslag,19,327
2022,Ganska dåligt förslag,18,296
2023,Ganska dåligt förslag,18,293
2024,Ganska dåligt förslag,20,338
1995,Mycket dåligt förslag,52,885
1999,Mycket dåligt förslag,52,849
2000,Mycket dåligt förslag,49,784
2001,Mycket dåligt förslag,51,833
2003,Mycket dåligt förslag,50,873
2005,Mycket dåligt förslag,44,713
2006,Mycket dåligt förslag,46,752
2007,Mycket dåligt förslag,46,776
2008,Mycket dåligt förslag,42,664
2009,Mycket dåligt förslag,42,631
2010,Mycket dåligt förslag,42,668
2011,Mycket dåligt förslag,38,564
2012,Mycket dåligt förslag,41,600
2013,Mycket dåligt förslag,44,700
2014,Mycket dåligt förslag,44,716
2015,Mycket dåligt förslag,50,735
2018,Mycket dåligt förslag,46,796
2022,Mycket dåligt förslag,50,837
2023,Mycket dåligt förslag,52,867
2024,Mycket dåligt förslag,48,824
