År,Svarsalternativ,Procent,Antal svar
2001,Mycket bra förslag,8,275
2002,Mycket bra förslag,9,154
2006,Mycket bra förslag,13,197
2007,Mycket bra förslag,14,231
2001,Ganska bra förslag,12,403
2002,Ganska bra förslag,12,209
2006,Ganska bra förslag,16,252
2007,Ganska bra förslag,18,294
2001,Varken bra eller dåligt förslag,18,626
2002,Varken bra eller dåligt förslag,20,333
2006,Varken bra eller dåligt förslag,20,305
2007,Varken bra eller dåligt förslag,20,314
2001,Ganska dåligt förslag,16,550
2002,Ganska dåligt förslag,16,262
2006,Ganska dåligt förslag,15,238
2007,Ganska dåligt förslag,14,226
2001,Mycket dåligt förslag,39,1349
2002,Mycket dåligt förslag,36,609
2006,Mycket dåligt förslag,30,463
2007,Mycket dåligt förslag,26,417
2001,Ingen uppfattning,7,246
2002,Ingen uppfattning,7,113
2006,Ingen uppfattning,7,113
2007,Ingen uppfattning,8,126
