År,Svarsalternativ,Procent,Antal svar
2010,Mycket bra förslag,36,593
2011,Mycket bra förslag,30,459
2012,Mycket bra förslag,28,426
2013,Mycket bra förslag,27,419
2015,Mycket bra förslag,27,433
2017,Mycket bra förslag,44,776
2018,Mycket bra förslag,44,789
2019,Mycket bra förslag,37,590
2021,Mycket bra förslag,31,483
2010,Ganska bra förslag,19,308
2011,Ganska bra förslag,21,319
2012,Ganska bra förslag,19,288
2013,Ganska bra förslag,18,276
2015,Ganska bra förslag,19,300
2017,Ganska bra förslag,19,335
2018,Ganska bra förslag,19,342
2019,Ganska bra förslag,21,328
2021,Ganska bra förslag,20,314
2010,Varken bra eller dåligt förslag,17,287
2011,Varken bra eller dåligt förslag,20,306
2012,Varken bra eller dåligt förslag,17,252
2013,Varken bra eller dåligt förslag,17,265
2015,Varken bra eller dåligt förslag,18,288
2017,Varken bra eller dåligt förslag,12,216
2018,Varken bra eller dåligt förslag,12,209
2019,Varken bra eller dåligt förslag,15,231
2021,Varken bra eller dåligt förslag,16,253
2010,Ganska dåligt förslag,10,168
2011,Ganska dåligt förslag,10,149
2012,Ganska dåligt förslag,12,175
2013,Ganska dåligt förslag,12,188
2015,Ganska dåligt förslag,11,182
2017,Ganska dåligt förslag,10,174
2018,Ganska dåligt förslag,10,180
2019,Ganska dåligt förslag,10,160
2021,Ganska dåligt förslag,12,191
2010,Mycket dåligt förslag,13,206
2011,Mycket dåligt förslag,13,191
2012,Mycket dåligt förslag,15,228
2013,Mycket dåligt förslag,18,281
2015,Mycket dåligt förslag,18,295
2017,Mycket dåligt förslag,12,217
2018,Mycket dåligt förslag,11,204
2019,Mycket dåligt förslag,12,195
2021,Mycket dåligt förslag,15,236
2010,Ingen uppfattning,5,90
2011,Ingen uppfattning,7,105
2012,Ingen uppfattning,9,139
2013,Ingen uppfattning,9,146
2015,Ingen uppfattning,8,123
2017,Ingen uppfattning,4,63
2018,Ingen uppfattning,4,68
2019,Ingen uppfattning,5,73
2021,Ingen uppfattning,5,79
