År,Svarsalternativ,Procent,Antal svar
2001,Mycket bra förslag,25,412
2004,Mycket bra förslag,17,277
2006,Mycket bra förslag,13,202
2007,Mycket bra förslag,8,133
2008,Mycket bra förslag,8,119
2010,Mycket bra förslag,14,226
2011,Mycket bra förslag,6,94
2001,Ganska bra förslag,14,233
2004,Ganska bra förslag,16,267
2006,Ganska bra förslag,12,191
2007,Ganska bra förslag,9,137
2008,Ganska bra förslag,9,135
2010,Ganska bra förslag,12,189
2011,Ganska bra förslag,9,144
2001,Varken bra eller dåligt förslag,20,336
2004,Varken bra eller dåligt förslag,22,375
2006,Varken bra eller dåligt förslag,25,393
2007,Varken bra eller dåligt förslag,23,365
2008,Varken bra eller dåligt förslag,22,341
2010,Varken bra eller dåligt förslag,31,508
2011,Varken bra eller dåligt förslag,29,447
2001,Ganska dåligt förslag,11,184
2004,Ganska dåligt förslag,13,211
2006,Ganska dåligt förslag,14,217
2007,Ganska dåligt förslag,17,278
2008,Ganska dåligt förslag,15,238
2010,Ganska dåligt förslag,13,208
2011,Ganska dåligt förslag,16,250
2001,Mycket dåligt förslag,11,180
2004,Mycket dåligt förslag,14,234
2006,Mycket dåligt förslag,17,259
2007,Mycket dåligt förslag,20,329
2008,Mycket dåligt förslag,20,311
2010,Mycket dåligt förslag,15,248
2011,Mycket dåligt förslag,20,298
2001,Ingen uppfattning,19,305
2004,Ingen uppfattning,19,314
2006,Ingen uppfattning,20,306
2007,Ingen uppfattning,23,367
2008,Ingen uppfattning,26,410
2010,Ingen uppfattning,15,250
2011,Ingen uppfattning,19,292
