År,Svarsalternativ,Procent,Antal svar
2001,Mycket bra förslag,30,1042
2002,Mycket bra förslag,27,446
2003,Mycket bra förslag,30,518
2004,Mycket bra förslag,28,479
2006,Mycket bra förslag,20,319
2007,Mycket bra förslag,25,408
2008,Mycket bra förslag,23,351
2010,Mycket bra förslag,34,552
2012,Mycket bra förslag,34,516
2014,Mycket bra förslag,26,435
2016,Mycket bra förslag,37,600
2024,Mycket bra förslag,39,689
2001,Ganska bra förslag,32,1091
2002,Ganska bra förslag,33,546
2003,Ganska bra förslag,30,514
2004,Ganska bra förslag,31,527
2006,Ganska bra förslag,28,445
2007,Ganska bra förslag,28,455
2008,Ganska bra förslag,31,479
2010,Ganska bra förslag,31,504
2012,Ganska bra förslag,29,432
2014,Ganska bra förslag,33,549
2016,Ganska bra förslag,31,494
2024,Ganska bra förslag,29,524
2001,Varken bra eller dåligt förslag,25,868
2002,Varken bra eller dåligt förslag,27,445
2003,Varken bra eller dåligt förslag,26,444
2004,Varken bra eller dåligt förslag,26,434
2006,Varken bra eller dåligt förslag,29,449
2007,Varken bra eller dåligt förslag,28,455
2008,Varken bra eller dåligt förslag,30,464
2010,Varken bra eller dåligt förslag,25,412
2012,Varken bra eller dåligt förslag,22,336
2014,Varken bra eller dåligt förslag,27,453
2016,Varken bra eller dåligt förslag,21,332
2024,Varken bra eller dåligt förslag,21,376
2001,Ganska dåligt förslag,5,174
2002,Ganska dåligt förslag,6,101
2003,Ganska dåligt förslag,5,87
2004,Ganska dåligt förslag,4,75
2006,Ganska dåligt förslag,9,148
2007,Ganska dåligt förslag,6,94
2008,Ganska dåligt förslag,5,84
2010,Ganska dåligt förslag,3,54
2012,Ganska dåligt förslag,3,43
2014,Ganska dåligt förslag,5,84
2016,Ganska dåligt förslag,3,54
2024,Ganska dåligt förslag,3,45
2001,Mycket dåligt förslag,3,101
2002,Mycket dåligt förslag,3,47
2003,Mycket dåligt förslag,3,50
2004,Mycket dåligt förslag,3,55
2006,Mycket dåligt förslag,6,90
2007,Mycket dåligt förslag,4,69
2008,Mycket dåligt förslag,4,62
2010,Mycket dåligt förslag,3,46
2012,Mycket dåligt förslag,3,42
2014,Mycket dåligt förslag,3,43
2016,Mycket dåligt förslag,2,37
2024,Mycket dåligt förslag,3,44
2001,Ingen uppfattning,5,167
2002,Ingen uppfattning,5,90
2003,Ingen uppfattning,7,119
2004,Ingen uppfattning,7,116
2006,Ingen uppfattning,7,116
2007,Ingen uppfattning,8,129
2008,Ingen uppfattning,7,106
2010,Ingen uppfattning,4,72
2012,Ingen uppfattning,10,145
2014,Ingen uppfattning,6,92
2016,Ingen uppfattning,6,99
2024,Ingen uppfattning,6,109
