År,Svarsalternativ,Procent,Antal svar
2001,Mycket bra förslag,5,79
2002,Mycket bra förslag,4,73
2008,Mycket bra förslag,3,49
2011,Mycket bra förslag,4,61
2012,Mycket bra förslag,5,81
2013,Mycket bra förslag,4,56
2014,Mycket bra förslag,5,75
2015,Mycket bra förslag,4,57
2016,Mycket bra förslag,4,71
2017,Mycket bra förslag,4,63
2018,Mycket bra förslag,3,54
2019,Mycket bra förslag,5,70
2020,Mycket bra förslag,4,73
2021,Mycket bra förslag,4,61
2022,Mycket bra förslag,4,72
2023,Mycket bra förslag,4,74
2001,Ganska bra förslag,9,140
2002,Ganska bra förslag,9,144
2008,Ganska bra förslag,7,105
2011,Ganska bra förslag,6,95
2012,Ganska bra förslag,6,95
2013,Ganska bra förslag,6,93
2014,Ganska bra förslag,5,90
2015,Ganska bra förslag,5,81
2016,Ganska bra förslag,5,78
2017,Ganska bra förslag,4,73
2018,Ganska bra förslag,4,74
2019,Ganska bra förslag,5,71
2020,Ganska bra förslag,4,64
2021,Ganska bra förslag,3,54
2022,Ganska bra förslag,3,55
2023,Ganska bra förslag,4,62
2001,Varken bra eller dåligt förslag,16,258
2002,Varken bra eller dåligt förslag,15,247
2008,Varken bra eller dåligt förslag,13,196
2011,Varken bra eller dåligt förslag,16,240
2012,Varken bra eller dåligt förslag,8,125
2013,Varken bra eller dåligt förslag,8,123
2014,Varken bra eller dåligt förslag,13,209
2015,Varken bra eller dåligt förslag,10,162
2016,Varken bra eller dåligt förslag,10,169
2017,Varken bra eller dåligt förslag,10,170
2018,Varken bra eller dåligt förslag,7,132
2019,Varken bra eller dåligt förslag,6,98
2020,Varken bra eller dåligt förslag,7,118
2021,Varken bra eller dåligt förslag,7,108
2022,Varken bra eller dåligt förslag,5,89
2023,Varken bra eller dåligt förslag,6,101
2001,Ganska dåligt förslag,22,358
2002,Ganska dåligt förslag,22,366
2008,Ganska dåligt förslag,18,279
2011,Ganska dåligt förslag,16,240
2012,Ganska dåligt förslag,13,194
2013,Ganska dåligt förslag,13,198
2014,Ganska dåligt förslag,16,261
2015,Ganska dåligt förslag,12,194
2016,Ganska dåligt förslag,12,203
2017,Ganska dåligt förslag,12,216
2018,Ganska dåligt förslag,10,179
2019,Ganska dåligt förslag,10,156
2020,Ganska dåligt förslag,11,191
2021,Ganska dåligt förslag,8,133
2022,Ganska dåligt förslag,7,126
2023,Ganska dåligt förslag,10,169
2001,Mycket dåligt förslag,43,714
2002,Mycket dåligt förslag,44,744
2008,Mycket dåligt förslag,53,820
2011,Mycket dåligt förslag,52,786
2012,Mycket dåligt förslag,59,892
2013,Mycket dåligt förslag,64,1021
2014,Mycket dåligt förslag,57,935
2015,Mycket dåligt förslag,62,1005
2016,Mycket dåligt förslag,62,1012
2017,Mycket dåligt förslag,65,1162
2018,Mycket dåligt förslag,72,1284
2019,Mycket dåligt förslag,70,1093
2020,Mycket dåligt förslag,71,1255
2021,Mycket dåligt förslag,73,1156
2022,Mycket dåligt förslag,77,1353
2023,Mycket dåligt förslag,73,1267
2001,Ingen uppfattning,6,99
2002,Ingen uppfattning,6,104
2008,Ingen uppfattning,7,104
2011,Ingen uppfattning,7,100
2012,Ingen uppfattning,8,123
2013,Ingen uppfattning,6,94
2014,Ingen uppfattning,5,82
2015,Ingen uppfattning,7,120
2016,Ingen uppfattning,6,100
2017,Ingen uppfattning,6,101
2018,Ingen uppfattning,4,66
2019,Ingen uppfattning,5,83
2020,Ingen uppfattning,4,74
2021,Ingen uppfattning,5,72
2022,Ingen uppfattning,4,69
2023,Ingen uppfattning,4,62
